,Unnamed: 0,start_action,end_action,duration,sequence_number
0,0,app_started_com.libertyglobal.app.youtubekids,app_stopped_com.libertyglobal.app.youtubekids,,1
1,1,app_stopped_com.libertyglobal.app.youtubekids,open_personal_home,,1
2,2,open_personal_home,start_active_stand_by,,1
3,3,start_active_stand_by,power_off,,1
4,4,power_off,start_active_stand_by,,1
6,6,start_cold_stand_by,switch_on,,1
7,7,switch_on,start_active_stand_by,,1
10,10,open_details_page_replay,START_rwd_replay_speed_0.0,,1
11,11,START_rwd_replay_speed_0.0,START_ffwd_replay_speed_1.0,,1
12,12,START_ffwd_replay_speed_1.0,END_ffwd_replay_speed_1.0,,1
13,13,END_ffwd_replay_speed_1.0,START_ffwd_replay_speed_1.0,,1
21,21,START_ffwd_replay_speed_64.0,START_ffwd_replay_speed_1.0,,1
33,33,START_rwd_replay_speed_-2.0,START_rwd_replay_speed_-6.0,,1
34,34,START_rwd_replay_speed_-6.0,START_ffwd_replay_speed_1.0,,1
36,36,open_guide,open_details_page_replay,,1
38,38,start_nPVR,START_ffwd_nPVR_speed_1.0,,1
39,39,START_ffwd_nPVR_speed_1.0,START_ffwd_nPVR_speed_2.0,,1
40,40,START_ffwd_nPVR_speed_2.0,START_ffwd_nPVR_speed_6.0,,1
41,41,START_ffwd_nPVR_speed_6.0,START_ffwd_nPVR_speed_30.0,,1
42,42,START_ffwd_nPVR_speed_30.0,START_ffwd_nPVR_speed_64.0,,1
43,43,START_ffwd_nPVR_speed_64.0,START_ffwd_nPVR_speed_1.0,,1
48,48,start_replay,START_rwd_replay_speed_0.0,,1
53,53,START_ffwd_replay_speed_2.0,START_ffwd_replay_speed_6.0,,1
54,54,START_ffwd_replay_speed_6.0,START_ffwd_replay_speed_1.0,,1
69,0,app_started_com.hayu.app.hayu,app_stopped_com.hayu.app.hayu,,2
70,1,app_stopped_com.hayu.app.hayu,app_started_com.metrological.app.Videoland,,2
71,2,app_started_com.metrological.app.Videoland,app_stopped_com.metrological.app.Videoland,,2
72,3,app_stopped_com.metrological.app.Videoland,start_active_stand_by,,2
75,6,app_stopped_com.libertyglobal.app.netflix,open_personal_home,,2
77,8,app_started_com.libertyglobal.app.netflix,app_stopped_com.libertyglobal.app.netflix,,2
81,12,START_rwd_SVOD_speed_0.0,START_ffwd_SVOD_speed_1.0,,2
82,13,START_ffwd_SVOD_speed_1.0,START_rwd_SVOD_speed_-2.0,,2
83,14,START_rwd_SVOD_speed_-2.0,START_rwd_SVOD_speed_-6.0,,2
84,15,START_rwd_SVOD_speed_-6.0,START_rwd_SVOD_speed_-30.0,,2
85,16,START_rwd_SVOD_speed_-30.0,START_rwd_SVOD_speed_-64.0,,2
86,17,START_rwd_SVOD_speed_-64.0,START_ffwd_SVOD_speed_1.0,,2
88,19,END_ffwd_SVOD_speed_1.0,START_ffwd_SVOD_speed_1.0,,2
90,21,START_ffwd_SVOD_speed_2.0,START_rwd_SVOD_speed_0.0,,2
106,37,start_SVOD,START_ffwd_SVOD_speed_2.0,,2
108,39,START_ffwd_SVOD_speed_6.0,START_ffwd_SVOD_speed_30.0,,2
109,40,START_ffwd_SVOD_speed_30.0,START_ffwd_SVOD_speed_64.0,,2
110,41,START_ffwd_SVOD_speed_64.0,START_ffwd_SVOD_speed_2.0,,2
133,64,create_booking,open_guide,,2
138,0,app_started_com.metrological.app.Deezer,app_stopped_com.metrological.app.Deezer,,3
139,1,app_stopped_com.metrological.app.Deezer,app_started_com.metrological.app.Videoland,,3
142,4,app_started_com.libertyglobal.app.youtube,app_stopped_com.libertyglobal.app.youtube,,3
143,5,app_stopped_com.libertyglobal.app.youtube,start_active_stand_by,,3
145,7,start_lukewarm_stand_by,start_active_stand_by,,3
157,19,START_ffwd_review_buffer_speed_2.0,START_ffwd_review_buffer_speed_6.0,,3
158,20,START_ffwd_review_buffer_speed_6.0,START_ffwd_review_buffer_speed_30.0,,3
159,21,START_ffwd_review_buffer_speed_30.0,START_ffwd_review_buffer_speed_64.0,,3
160,22,START_ffwd_review_buffer_speed_64.0,START_ffwd_review_buffer_speed_1.0,,3
161,23,START_ffwd_review_buffer_speed_1.0,END_ffwd_review_buffer_speed_1.0,,3
162,24,END_ffwd_review_buffer_speed_1.0,START_ffwd_review_buffer_speed_1.0,,3
164,26,START_rwd_review_buffer_speed_0.0,START_ffwd_review_buffer_speed_1.0,,3
190,52,start_recording,open_details_page_replay,,3
192,54,open_details_page_live_event,create_booking,,3
202,64,view_watchlist,open_details_page_replay,,3
205,67,view_recording_list,open_personal_home,,3
211,4,open_details_page_recording,start_nPVR,,4
216,9,END_ffwd_nPVR_speed_1.0,START_ffwd_nPVR_speed_1.0,,4
