,Unnamed: 0,start_action,end_action,duration,sequence_number
0,0,app_started_com.metrological.app.WallStreetJournal,app_stopped_com.metrological.app.WallStreetJournal,,1
1,1,app_stopped_com.metrological.app.WallStreetJournal,app_started_com.metrological.app.Wikipedia,,1
2,2,app_started_com.metrological.app.Wikipedia,app_stopped_com.metrological.app.Wikipedia,,1
3,3,app_stopped_com.metrological.app.Wikipedia,app_started_com.metrological.app.Wikipedia,,1
69,0,app_started_com.metrological.app.Deezer,app_stopped_com.metrological.app.Deezer,,2
70,1,app_stopped_com.metrological.app.Deezer,app_started_nl.xite.radioxite,,2
71,2,app_started_nl.xite.radioxite,app_stopped_nl.xite.radioxite,,2
72,3,app_stopped_nl.xite.radioxite,app_started_com.metrological.app.Videoland,,2
73,4,app_started_com.metrological.app.Videoland,app_stopped_com.metrological.app.Videoland,,2
74,5,app_stopped_com.metrological.app.Videoland,app_started_com.libertyglobal.app.viaplay,,2
75,6,app_started_com.libertyglobal.app.viaplay,app_stopped_com.libertyglobal.app.viaplay,,2
76,7,app_stopped_com.libertyglobal.app.viaplay,app_started_com.libertyglobal.app.netflix,,2
77,8,app_started_com.libertyglobal.app.netflix,app_stopped_com.libertyglobal.app.netflix,,2
78,9,app_stopped_com.libertyglobal.app.netflix,open_personal_home,,2
79,10,open_personal_home,open_vod_collection,,2
80,11,open_vod_collection,open_details_page_VoD,,2
81,12,open_details_page_VoD,start_cold_stand_by,,2
82,13,start_cold_stand_by,switch_on,,2
83,14,switch_on,start_active_stand_by,,2
84,15,start_active_stand_by,start_cold_stand_by,,2
87,18,open_details_page_replay,start_replay,,2
88,19,start_replay,START_rwd_replay_speed_0.0,,2
89,20,START_rwd_replay_speed_0.0,START_ffwd_replay_speed_1.0,,2
90,21,START_ffwd_replay_speed_1.0,END_ffwd_replay_speed_1.0,,2
91,22,END_ffwd_replay_speed_1.0,open_personal_home,,2
93,24,app_started_com.libertyglobal.app.youtube,app_stopped_com.libertyglobal.app.youtube,,2
94,25,app_stopped_com.libertyglobal.app.youtube,open_personal_home,,2
99,30,view_recording_list,open_personal_home,,2
104,35,open_details_page_recording,start_nPVR,,2
105,36,start_nPVR,open_guide,,2
106,37,open_guide,open_details_page_replay,,2
109,40,START_rwd_replay_speed_-2.0,START_rwd_replay_speed_-6.0,,2
110,41,START_rwd_replay_speed_-6.0,START_rwd_replay_speed_-30.0,,2
111,42,START_rwd_replay_speed_-30.0,START_ffwd_replay_speed_1.0,,2
138,0,app_started_com.metrological.app.ShortsTV,app_stopped_com.metrological.app.ShortsTV,,3
139,1,app_stopped_com.metrological.app.ShortsTV,open_personal_home,,3
156,18,START_ffwd_replay_speed_2.0,START_ffwd_replay_speed_1.0,,3
171,33,START_ffwd_nPVR_speed_2.0,START_ffwd_nPVR_speed_6.0,,3
172,34,START_ffwd_nPVR_speed_6.0,START_ffwd_nPVR_speed_30.0,,3
173,35,START_ffwd_nPVR_speed_30.0,START_ffwd_nPVR_speed_1.0,,3
174,36,START_ffwd_nPVR_speed_1.0,END_ffwd_nPVR_speed_1.0,,3
175,37,END_ffwd_nPVR_speed_1.0,START_ffwd_nPVR_speed_1.0,,3
192,54,delete_recording,view_recording_list,,3
196,58,search_contents,open_details_page_live_event,,3
197,59,open_details_page_live_event,open_guide,,3
212,5,app_started_com.libertyglobal.app.primevideo,app_stopped_com.libertyglobal.app.primevideo,,4
213,6,app_stopped_com.libertyglobal.app.primevideo,search_voice,,4
214,7,search_voice,app_started_com.libertyglobal.app.youtube,,4
240,33,power_off,start_active_stand_by,,4
297,21,START_rwd_nPVR_speed_-2.0,START_rwd_nPVR_speed_-6.0,,5
298,22,START_rwd_nPVR_speed_-6.0,START_ffwd_nPVR_speed_1.0,,5
305,29,START_ffwd_nPVR_speed_64.0,START_ffwd_nPVR_speed_1.0,,5
345,0,start_TVOD,open_personal_home,,6
358,13,START_rwd_nPVR_speed_0.0,START_ffwd_nPVR_speed_1.0,,6
416,2,app_started_nl.xite.myxite,app_stopped_nl.xite.myxite,,7
417,3,app_stopped_nl.xite.myxite,open_details_page_replay,,7
453,39,start_lukewarm_stand_by,switch_on,,7
469,55,START_rwd_nPVR_speed_-30.0,START_rwd_nPVR_speed_-64.0,,7
470,56,START_rwd_nPVR_speed_-64.0,START_ffwd_nPVR_speed_1.0,,7
483,0,app_started_com.metrological.app.ANWB,app_stopped_com.metrological.app.ANWB,,8
484,1,app_stopped_com.metrological.app.ANWB,open_personal_home,,8
552,0,start_qam_LTV,start_qam_LTV,,9
621,0,app_started_com.metrological.app.CNN,app_stopped_com.metrological.app.CNN,,10
622,1,app_stopped_com.metrological.app.CNN,open_personal_home,,10
645,24,create_booking,open_guide,,10
660,39,START_ffwd_replay_speed_6.0,START_ffwd_replay_speed_1.0,,10
690,0,app_started_nl.peoplesplayground.app.ForeignTVItalian,open_personal_home,,11
699,9,start_SVOD,open_personal_home,,11
715,25,START_ffwd_replay_speed_30.0,START_ffwd_replay_speed_1.0,,11
763,4,START_rwd_SVOD_speed_0.0,START_ffwd_SVOD_speed_1.0,,12
764,5,START_ffwd_SVOD_speed_1.0,END_ffwd_SVOD_speed_1.0,,12
765,6,END_ffwd_SVOD_speed_1.0,START_ffwd_SVOD_speed_1.0,,12
776,17,START_ffwd_SVOD_speed_0.5,START_rwd_SVOD_speed_0.0,,12
828,0,app_started_com.metrological.app.FitAtHome,app_stopped_com.metrological.app.FitAtHome,,13
829,1,app_stopped_com.metrological.app.FitAtHome,open_personal_home,,13
839,11,START_ffwd_replay_speed_64.0,START_ffwd_replay_speed_2.0,,13
897,0,start_LTV,start_qam_LTV,,14
900,3,START_rwd_LTV_speed_0.0,start_qam_LTV,,14
916,19,START_rwd_LTV_speed_-2.0,START_rwd_LTV_speed_0.0,,14
1104,0,start_recording,start_review_buffer,,17
1105,1,start_review_buffer,START_rwd_review_buffer_speed_-64.0,,17
1106,2,START_rwd_review_buffer_speed_-64.0,start_review_buffer,,17
1108,4,START_rwd_review_buffer_speed_0.0,START_ffwd_review_buffer_speed_1.0,,17
1109,5,START_ffwd_review_buffer_speed_1.0,END_ffwd_review_buffer_speed_1.0,,17
1110,6,END_ffwd_review_buffer_speed_1.0,START_ffwd_review_buffer_speed_1.0,,17
1129,25,open_settings,open_personal_home,,17
1177,4,app_started_com.twentyfouri.npo,app_stopped_com.twentyfouri.npo,,18
1178,5,app_stopped_com.twentyfouri.npo,app_started_com.libertyglobal.app.netflix,,18
1366,55,START_ffwd_SVOD_speed_2.0,START_ffwd_SVOD_speed_6.0,,20
1367,56,START_ffwd_SVOD_speed_6.0,START_ffwd_SVOD_speed_1.0,,20
1380,0,app_started_com.libertyglobal.app.youtubekids,app_stopped_com.libertyglobal.app.youtubekids,,21
1381,1,app_stopped_com.libertyglobal.app.youtubekids,open_personal_home,,21
1533,15,START_ffwd_SVOD_speed_30.0,START_ffwd_SVOD_speed_1.0,,23
1539,21,START_rwd_SVOD_speed_-2.0,START_rwd_SVOD_speed_-6.0,,23
1540,22,START_rwd_SVOD_speed_-6.0,START_ffwd_SVOD_speed_1.0,,23
1712,56,app_started_com.tv2z.film1,app_stopped_com.tv2z.film1,,25
1713,57,app_stopped_com.tv2z.film1,open_personal_home,,25
1725,0,app_started_com.libertyglobal.app.MoodLounge,app_stopped_com.libertyglobal.app.MoodLounge,,26
1726,1,app_stopped_com.libertyglobal.app.MoodLounge,start_active_stand_by,,26
1862,68,START_rwd_replay_speed_-64.0,START_ffwd_replay_speed_1.0,,27
1863,0,app_started_nl.peoplesplayground.app.ForeignTV,app_stopped_nl.peoplesplayground.app.ForeignTV,,28
1864,1,app_stopped_nl.peoplesplayground.app.ForeignTV,open_personal_home,,28
1932,0,app_started_com.metrological.app.VimeoRelease,app_stopped_com.metrological.app.VimeoRelease,,29
1933,1,app_stopped_com.metrological.app.VimeoRelease,search_voice,,29
2151,12,START_ffwd_LTV_speed_1.0,END_ffwd_LTV_speed_1.0,,32
2152,13,END_ffwd_LTV_speed_1.0,START_ffwd_LTV_speed_1.0,,32
2208,0,app_started_com.metrological.app.Buienradar,app_stopped_com.metrological.app.Buienradar,,33
2209,1,app_stopped_com.metrological.app.Buienradar,open_personal_home,,33
